Job Title,Company,Industry/Domain,Location,Required Skills,Years of Experience Required,Job Description (10-20 lines; include responsibilities and qualifications),Company Details (2-3 lines about the company),URL
Data AI Co-op / Internship,BrainPOP,EdTech / Data and Generative AI,"New York, NY (Hybrid)",SQL; Python; Snowflake; dbt; Tableau; Streamlit; CortexAI; prompt evaluation,No explicit years stated; current student or recent graduate eligibility applies,"• Run during the fall 2026 co-op period.
• Work a full-time weekday schedule with a hybrid New York arrangement.
• Analyze product, engagement and revenue data in Snowflake.
• Support Tableau dashboards and convert selected workflows to Streamlit.
• Build reusable Snowflake or dbt data models.
• Support the CortexAI semantic layer and structured prompts.
• Document, test and evaluate AI-assisted analytics workflows.
• Work with product, data and education stakeholders.
• Bring working knowledge of SQL and Python.
• Professional years of experience are not required.","Education-technology company creating digital learning products for schools and families.
Its data and product teams use analytics and AI to improve learning experiences.",https://job-boards.greenhouse.io/brainpop/jobs/4697549006
AI Engineer Intern - GenAI Internal Automation - GAIA,Equativ,AdTech / Generative AI,"Paris, France (On-site)",Python; Git; Google ADK; LangChain/LangGraph; Vertex AI; Kubernetes; n8n; MLOps/AIOps; CI/CD; agent workflows,No years stated; internship/student eligibility,"• Join Equativ's GenAI team in Paris for an on-site internship.
• Help design, develop and deploy internal generative-AI automation.
• Build production-ready agent workflows for internal use cases.
• Use Python and Git in the development workflow.
• Work with Google ADK, LangChain or LangGraph.
• Use Vertex AI and container or orchestration technology such as Kubernetes.
• Contribute to n8n-based automation and agentic workflows.
• Apply MLOps/AIOps, CI/CD and unit-testing practices.
• Collaborate with a strategic GenAI unit responsible for Equativ's GenAI stack.
• The accessible posting does not state a years-of-experience minimum.","Independent advertising-technology company operating programmatic advertising products.
Its engineering and data teams work on privacy-first advertising, AI and large-scale prediction systems.",https://jobs.lever.co/equativ/43f7b6c8-476b-4226-bbec-1e1b3dfb35b2
Principal Data Science,Fidelity Investments,Financial Services / Decision Science,"Jersey City, NJ",Statistics; machine learning; Python/R/SQL; financial analytics; stakeholder communication; mentoring,"Master's + 10 years, or bachelor's + 12 years","• Lead advanced data-science analysis for financial-services decisions.
• Develop statistical and machine-learning solutions.
• Translate complex questions into analytical plans.
• Present findings and recommendations to business partners.
• Establish analytical guidelines and technical standards.
• Mentor junior data scientists and analysts.
• Collaborate with product, technology and investment stakeholders.
• Use quantitative methods and modern data-science tools.
• Hold a relevant bachelor's or master's degree.
• Bring ten years with a master's degree or twelve years with a bachelor's degree.","Financial-services company providing investment, retirement and brokerage products.
Its data-science teams develop analytics, decision systems and customer solutions.",https://jobs.fidelity.com/en/jobs/2132120/principal-data-science/
Summer Intern 2027 - Quantitative Trader,Five Rings,Quantitative Finance / Proprietary Trading,"New York, NY",Mathematics; probability; logical problem solving; quantitative reasoning; communication,No explicit years stated; student role with specified graduation eligibility,"• Complete a nine-week quantitative-trading internship.
• Participate in structured training on markets, trading and risk.
• Apply mathematical and logical reasoning to trading problems.
• Work with mentors on real quantitative projects.
• Analyze data and simulated or live market scenarios.
• Collaborate with traders, researchers and other interns.
• Communicate assumptions, decisions and results clearly.
• Be enrolled in a quantitatively focused degree program.
• Meet the graduation-window requirement stated in the posting.
• Prior finance experience and professional work experience are not required.","New York proprietary trading firm focused on quantitative trading, research and technology.
Its internships combine structured training, mentorship and project work.",https://job-boards.greenhouse.io/fiveringsllc/jobs/5139668008
AI Software Intern - Fall 2026,Formlabs,3D Printing / Computer Vision,"Somerville, MA (On-site)",Python; PyTorch or TensorFlow; C++; computer vision; 3D geometry; point clouds; inference optimization,"No explicit years stated; pursuing BS, MS, or PhD","• Work full time on site during the fall 2026 internship term.
• Design and evaluate ML models for 3D spatial data.
• Develop computer-vision and time-series systems for print monitoring.
• Work with point clouds, meshes and voxel representations.
• Build defect-detection and process-analysis prototypes.
• Profile and optimize model inference for desktop or cloud use.
• Collaborate with software and multidisciplinary engineering teams.
• Use Python with PyTorch or TensorFlow.
• Apply C++ foundations and geometric-data knowledge.
• Professional work experience is not required.","Formlabs develops professional 3D-printing hardware, materials and software.
Its products support prototyping and manufacturing across engineering, healthcare and other industries.",https://careers.formlabs.com/job/8067641/apply/
"Machine Learning Engineer Internship, May–August",Jane Street,Quantitative Finance / Machine Learning,"New York City, NY",Programming; practical ML models or libraries; experimentation; collaboration; curiosity,No explicit years stated; undergraduate or PhD student eligibility applies,"• Work from May through August in New York City.
• Join a production machine-learning project needed by Jane Street.
• Partner with a full-time employee who serves as a mentor.
• Use large, noisy financial datasets and GPU computing resources.
• Train, evaluate or optimize machine-learning models and workflows.
• Contribute production-quality code and technical documentation.
• Share selected classes and activities with software-engineering interns.
• Be enrolled as an undergraduate or PhD student.
• Demonstrate practical ML experience through a model, library or workflow project.
• Professional full-time experience is not required.","Global quantitative trading and technology firm with an interdisciplinary research culture.
Its teams apply mathematics, software engineering and machine learning to financial markets.",https://www.janestreet.com/join-jane-street/position/8611307002
Compiler Engineer - AI Inference - New College Grad 2026,NVIDIA,Semiconductors / AI Systems,"Santa Clara, CA",C++; Python; compilers; GPU architecture; kernel generation; computational graphs; AI inference,No explicit years stated; 2026 new-college-graduate eligibility applies,"• Develop compiler technology for AI inference and training workloads.
• Work on kernel generation for NVIDIA GPU platforms.
• Optimize computational graphs and generated code.
• Analyze correctness and performance across the compiler stack.
• Collaborate with GPU, compiler and AI-software teams.
• Contribute production-quality code, tests and documentation.
• Apply knowledge of algorithms and computer systems.
• Use strong C++ or Python software-development skills.
• Bring compiler, GPU-computing or ML-systems coursework or projects.
• Prior full-time professional experience is not required.","NVIDIA develops accelerated-computing platforms based on GPUs, networking and AI software.
Its technology supports AI training, inference, simulation and high-performance computing.",https://nvidia.wd5.myworkdayjobs.com/en-US/nvidiaexternalcareersite/job/US-CA-Santa-Clara/Compiler-Engineer--AI-Inference--New-College-Grad-2026_JR2021230
Strategy & Operations Project Intern - Monetization AI - 2026 Start - MBA,TikTok,Big Tech / AI Monetization,"New York City, NY (Hybrid; at least 3 days/week)",Business analysis; AI/advertising/commerce research; strategy; presentations; cross-functional collaboration,No years stated; MBA student with more than one program year completed,"• Analyze business performance and identify product or growth opportunities.
• Research AI, advertising, commerce and industry trends.
• Develop insights and recommendations for product leaders.
• Support strategic planning, business reviews and leadership presentations.
• Collaborate with Product, Engineering, Sales, Operations and Data Science.
• Contribute to short-term projects involving AI-driven advertising opportunities.
• Work in New York City under a hybrid arrangement.
• The role requires at least three days per week in the office.
• Applicants must be enrolled in an MBA with more than one program year completed.
• Strong analytical, problem-solving and communication skills are required.","Global short-form video platform and technology company.
Its monetization teams develop advertising products and business strategies using data and AI.",https://lifeattiktok.com/search/7662811565604800773
"Consultant (Top Secret Clearance, Software Implementation)",Appian,Enterprise Software / Generative AI Consulting,"McLean, VA; work in a cleared facility",Appian platform; object-oriented programming; SQL; APIs; relational data modeling; Agile delivery; active Top Secret clearance,1+ year of software development or technical consulting,"• Work with clients to define business processes and gather functional and technical requirements.
• Design and build applications on the Appian platform.
• Create relational data models, interfaces and system integrations.
• Apply object-oriented programming concepts and SQL.
• Develop and test APIs and workflow components.
• Participate in Agile delivery, demonstrations and design reviews.
• Troubleshoot technical issues and improve application quality.
• Communicate clearly with client and engineering stakeholders.
• Maintain an active Top Secret clearance or higher.
• Bring at least one year of software development or technical consulting experience.","Enterprise software company known for its low-code automation and process platform.
Its consultants implement applications, data models, integrations and AI-enabled workflows.",https://careers.appian.com/jobs/7837402-consultant--top-secret-clearance--software-implementatio
AI Software Engineer,Booz Allen Hamilton,Government Technology / AI Software,"Arlington, VA",Python/JavaScript/Rust/Go; production-grade software; AI/ML integration; APIs; cloud; testing; software design; deployment,4+ years writing production-grade applications,"• Design and implement software supporting AI and machine-learning solutions.
• Translate mission requirements into user-focused technical components.
• Develop application services and model-integration code.
• Configure and integrate software in client environments.
• Write tests and support secure deployment workflows.
• Collaborate with data scientists, engineers and mission stakeholders.
• Document designs and operational procedures.
• Troubleshoot software and integration issues.
• Write production-grade applications in languages such as Python, JavaScript, Rust or Go.
• Bring at least four years of production-grade application-development experience.","Technology and management consulting company serving government and commercial clients.
Its AI and data teams build production analytics, software and mission systems.",https://careers.boozallen.com/careers/JobDetail/Arlington-AI-Software-Engineer-R0244680/127458
